Municipality,Settlement,ID,Facility Type,Facility Name,Neighborhood,Street,House Number,X Cord,Y Cord,Building Amount,Owner,Operator,Contact Phone,Contact eMail,Seat amount,Availability,Fencing Available,Lighting Available,Accessibility,Parking Available,Facility Condition,Competition Standard,Official Competition Use,Year Built,School Served,Availability Category,Fencing Available Numeric,Lighting Available Numeric,Facility Condition Numeric,Facility Age
נתיבות,,026A2107614,מתקן פתוח לכושר גופני,פארק כושר ברחוב ברית הכהונה,,ברית כהונה,508,161618.0,529047.0,,נתיבות,עיריית נתיבות,089945227,,,פתוח ללא הגבלה,לא,כן,כן,כן,תקין ופעיל,,,2013.0,,Very High,0,1,4.0,12.0
נתיבות,,026A2107613,מתקן פתוח לכושר גופני,פארק כושר במשעול יהונתן נתניהו,,משעול יונתן נתניהו,526,161840.0,592810.0,,נתיבות,עיריית נתיבות,089945227,,,פתוח ללא הגבלה,לא,כן,כן,לא,תקין ופעיל,,,2008.0,,Very High,0,1,4.0,17.0
נתיבות,,026A2107183,מתקן פתוח לכושר גופני,מתקני ספורט פתוחים בסמוך לקריית הספורטק שדרות ויצמן,,ויצמן,1035,160985.0,591804.0,,נתיבות,עיריית נתיבות,089945227,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,,,2008.0,,Very High,1,1,4.0,17.0
נתיבות,,026A2107178,מתקן פתוח לכושר גופני,מתקני ספורט פתוחים בקריית הספורטק שכונת נווה נוי,,הגפן,1,160889.0,591729.0,,נתיבות,עיריית נתיבות,089945227,,,פתוח ללא הגבלה,לא,כן,כן,כן,תקין ופעיל,,,2005.0,,Very High,0,1,4.0,20.0
נתיבות,,026G1101066,אולם ספורט קטן – 20x10 מ',"אולם ספורט קטן בבית הספר היסודי ""נתיב יצחק""",,החפץ חיים,1,161584.0,592675.0,,נתיבות,עיריית נתיבות,089945227,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,,,1970.0,"בית הספר היסודי ""נתיב יצחק""",Very High,1,1,4.0,55.0
נתיבות,,026B1104641,מגרש כדורסל – 19X32 מ',מגרש כדורסל משולב ברחוב חי הכהן,,חי הכהן,,161432.0,592798.0,,נתיבות,עיריית נתיבות,089945227,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,,,1978.0,,Very High,1,1,4.0,47.0
נתיבות,,026B1104652,מגרש כדורסל – 19X32 מ',"מגרש כדורסל משולב בבית הספר היסודי חב""ד",,"הרמב""ם",24,161528.0,592689.0,,נתיבות,עיריית נתיבות,089945227,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,,,2013.0,,Very High,1,1,4.0,12.0
נתיבות,,026B1104637,מגרש כדורסל – 19X32 מ',מגרש כדורסל משולב ברחוב מלכי ישראל,,מלכי ישראל,23,161178.0,592335.0,,נתיבות,עיריית נתיבות,089945227,,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,,,1975.0,,Very High,1,1,4.0,50.0
נתיבות,,026X1105585,מתקן אקסטרים,מגרש סקייטבורד בגן בן-אריה ברחוב הרב צבאן,,הרב צבאן,,159774.0,591863.0,,נתיבות,עיריית נתיבות,089945227,,,פתוח ללא הגבלה,לא,כן,כן,כן,תקין ופעיל,,,2002.0,,Very High,0,1,4.0,23.0
נתיבות,,026A2107177,מתקן פתוח לכושר גופני,מתקני כושר פתוחים ברחוב הרב צבאן,,הרב צבאן,,159742.0,591993.0,,נתיבות,עיריית נתיבות,089945227,,,פתוח ללא הגבלה,לא,כן,כן,כן,תקין ופעיל,,,2013.0,,Very High,0,1,4.0,12.0
נתיבות,,026B1104638,מגרש כדורסל – 19X32 מ',"מגרש כדורסל משולב בבית הספר ""הצבי""",,קטיף,14,159423.0,592245.0,,נתיבות,עיריית נתיבות,089945227,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,,לא רלוונטי,2012.0,"תיכון ""הצבי""",Very High,1,1,4.0,13.0
נתיבות,,026B2109063,מגרש ספורט משולב – 43X32 מ',מגרש קטרגל משולב נועם אליהו,,,,161654.0,552942.0,,נתיבות,עיריית נתיבות,,,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,לא רלוונטי,1985.0,,Very High,1,1,4.0,40.0
נתיבות,,026T1309064,מגרש טניס,מגרש טניס גן מיכה,,,,162019.0,592890.0,,נתיבות,עיריית נתיבות,,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",לא רלוונטי,1982.0,,Very High,1,1,4.0,43.0
נתיבות,,026R1109065,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),מגרש קטרגל גן מיכה,,,,162000.0,552926.0,,נתיבות,עיריית נתיבות,,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,,1982.0,,Very High,1,1,4.0,43.0
נתיבות,,026F3309066,אצטדיון כדורגל – 105X70 מ',אצטדיון כדורגל סינטטי,,,,159272.0,551736.0,,נתיבות,,,,350.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",ליגה מקומית ואיזורית,2020.0,,Low,1,1,4.0,5.0
נתיבות,,026F5309067,"אצטדיון/מסלול אתלטיקה קלה – 6-4 מסלולים, 250 או 300 מ'",אצטדיון אתלטיקה קלה עירוני,,,,159272.0,551736.0,,נתיבות,עיריית נתיבות,,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",ליגה מקומית ואיזורית,2020.0,,Very High,1,1,4.0,5.0
נתניה,מכון וינגייט,233D1309061,מסלול מרוץ ספורט מוטורי,מסלול מוטורי מוטורקרוס וינגייט,,,,184354.0,684834.0,,נתניה,,,,,כניסה בתשלום במקום,כן,לא,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",ליגה מקומית ואיזורית,2012.0,,,1,0,4.0,13.0
נתניה,,233G3308313,אולם ספורט בינוני – 32x19 מ',אהרון דוידי,אגמים,שמורת נחל שניר,3,186120.0,688550.0,,נתניה,עיריית נתניה,,,269.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"מתקן תקני לפי דרישות האיגוד, כולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2019.0,כן,Low,1,1,4.0,6.0
נתניה,,233B3108315,מגרש ספורט במידות אחרות – לא תקני,הלל צור החדש,,נחום סוקולוב,27,187333.0,694290.0,,נתניה,עיריית נתניה,,,,בתיאום בלבד,כן,לא,לא,לא,תקין ופעיל,,,2019.0,כן,Low,1,0,4.0,6.0
נתניה,,233A2108125,מתקן פתוח לכושר גופני,שלולית החורף מזרחי,,שד' בן גוריון,143,185466.0,688676.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2006.0,,Very High,0,0,4.0,19.0
נתניה,,233A2107570,מתקן פתוח לכושר גופני,פארק אזורים,,דר' סטופ,5,186906.0,689812.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2006.0,,Very High,0,0,4.0,19.0
נתניה,,233A2107432,מתקן פתוח לכושר גופני,ספורטק עיר ימים-מתחם כח,,שד' בן גוריון/צמוד לת.אלון,,185688.0,687544.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2009.0,,Very High,0,0,4.0,16.0
נתניה,,233A2108124,מתקן פתוח לכושר גופני,שלולית,,שד' אגמים,13,185466.0,688676.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2006.0,,Very High,0,0,4.0,19.0
נתניה,,233B2100104,מגרש ספורט משולב – 43X32 מ',אביחי,קרית השרון,שדרות טום לנטוס,31,187954.0,690120.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,,,Very High,0,0,4.0,
נתניה,,233B1100123,מגרש כדורסל – 19X32 מ',אגם החורף,אירוסים,שדרות בן גוריון,,185517.0,688120.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,,,Very High,0,0,4.0,
נתניה,,233F2100124,מגרש כדורגל - לא תקני,אגם החורף,גלי ים/נווה עוז,שדרות בן גוריון,,185517.0,688120.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,,,Very High,0,0,4.0,
נתניה,,233F2101231,מגרש כדורגל - לא תקני,אור לציון,רמת חן,"הגר""א",4,186756.0,690730.0,,נתניה,עיריית נתניה,,,,מבוקר ועד לילה,לא,לא,לא,לא,תקין ופעיל,,,,,High,0,0,4.0,
נתניה,,233B1101232,מגרש כדורגל - לא תקני,אור לציון מזרחי,רמת חן,"הגר""א",4,186756.0,690730.0,,נתניה,עיריית נתניה,,,,מבוקר ועד לילה,לא,לא,לא,לא,תקין ופעיל,,,,,High,0,0,4.0,
נתניה,,233B3101243,מגרש ספורט במידות אחרות – לא תקני,אורחות יצחק,,עולי הגרדום,27,187579.0,692854.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,,,Very High,0,0,4.0,
נתניה,,233F2101253,מגרש כדורגל - לא תקני,אורט ליבוביץ,"אזוה""ת הישו",פנקס,34,188117.0,691378.0,,נתניה,אורט לייבוביץ,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,2016.0,,Low,0,0,4.0,9.0
נתניה,,233R1101254,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),אורט ליבוביץ,"אזוה""ת הישן",פנקס,34,188117.0,691378.0,,נתניה,אורט לייבוביץ,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,2016.0,,Low,0,0,4.0,9.0
נתניה,,233R1101255,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),אורט ליבוביץ,"אזוה""ת הישן",פנקס,34,188138.0,691392.0,,נתניה,אורט לייבוביץ,,,,בתיאום בלבד,כן,כן,לא,לא,תקין ופעיל,,,,,Low,1,1,4.0,
נתניה,,233B2101262,מגרש ספורט משולב – 43X32 מ',אורט שטקליס,קרית השרון,יהודה פרח,12,188157.0,690044.0,,נתניה,עיריית נתניה,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,,,Low,0,0,4.0,
נתניה,,233R1101722,מגרש כדורסל – 19X32 מ',"ביה""ס אילן רמון",גלי ים/נווה עוז,אלכסנדרוני,8,185584.0,689150.0,,נתניה,עיריית נתניה,,,,בתיאום בלבד,כן,כן,לא,לא,תקין ופעיל,,,,,Low,1,1,4.0,
נתניה,,233B1101329,מגרש כדורסל – 19X32 מ',איתמר,מרכז העיר,יאיר שטרן,12,186336.0,691863.0,,נתניה,עיריית נתניה,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,,,Low,0,0,4.0,
נתניה,,233R1101330,מגרש כדורגל - לא תקני,איתמר,,יאיר שטרן,12,186336.0,691863.0,,נתניה,עיריית נתניה,,,,בתיאום בלבד,לא,לא,לא,לא,תקין ופעיל,,,,,Low,0,0,4.0,
נתניה,,233R1101340,מגרש כדורגל - לא תקני,אלדד,קרית נורדאו,שד' גולדה מאיר,901,186587.0,687204.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",כן,כן,לא,לא,תקין ופעיל,,,,,,1,1,4.0,
נתניה,,233R1101384,מגרש כדורגל - לא תקני,בית מרגלית חטיבה,נאות הרצל,גליקסון,28,187593.0,692629.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",לא,לא,לא,לא,תקין ופעיל,,,2006.0,,,0,0,4.0,19.0
נתניה,,233F2101387,מגרש כדורגל - לא תקני,"אמית עמיטל-רמב""ם",נאות שקד/אזורים,אלנקווה,10,186137.0,689190.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,,,Very High,0,0,4.0,
נתניה,,233R1101492,מגרש ספורט במידות אחרות – לא תקני,בארי,,בר אילן,12,187184.0,693678.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",כן,לא,לא,לא,תקין ופעיל,,,2006.0,,,1,0,4.0,19.0
נתניה,,233R1101712,מגרש ספורט במידות אחרות – לא תקני,"ביה""ס אהרון דוידי",,נחל שניר,3,186374.0,688419.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",כן,כן,כן,כן,תקין ופעיל,,,2010.0,,,1,1,4.0,15.0
נתניה,,233B1101918,מגרש כדורסל – 19X32 מ',בית יעקב,רמת אפריים,לחי,13,187455.0,691803.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",לא,לא,לא,לא,תקין ופעיל,,,2000.0,,,0,0,4.0,25.0
נתניה,,233R1102074,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),בנות מלך,נאות גנים,השומר,4,188874.0,690868.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",לא,לא,לא,לא,סגור לשימוש,,,2003.0,,,0,0,0.0,22.0
נתניה,,233R1102469,מגרש ספורט במידות אחרות – לא תקני,ברקאי,,שלמה המלך,36,186515.0,693843.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",לא,לא,לא,לא,תקין ופעיל,,,2005.0,,,0,0,4.0,20.0
נתניה,,233R1102486,מגרש כדורסל – 19X32 מ',בת חן-הארז,קרית השרון,בת חן-הארז,,188657.0,689671.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,כן,לא,לא,לא,תקין ופעיל,,,2003.0,,Very High,1,0,4.0,22.0
נתניה,,233F2102605,מגרש כדורגל - לא תקני,גן מסילות,רמת ידין - דורה,מסילות,,188151.0,689661.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",כן,כן,לא,לא,תקין ופעיל,,,2006.0,,,1,1,4.0,19.0
נתניה,,233B3102645,מגרש כדורגל - לא תקני,גן פוקס,קרית נורדאו,שי עגנון,,186019.0,687535.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,כן,כן,לא,לא,תקין ופעיל,,,2006.0,,Very High,1,1,4.0,19.0
נתניה,,233R1102633,מגרש ספורט משולב – 43X32 מ',דבורה עומר,קרית השרון,תאשור,2,188448.0,689458.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",כן,כן,לא,לא,תקין ופעיל,,,2003.0,,,1,1,4.0,22.0
נתניה,,233R1102954,מגרש כדורגל - לא תקני,חבד בנות,רמת ידין - דורה,נצח ישראל,,186250.0,689349.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",לא,לא,לא,לא,תקין ופעיל,,,2003.0,,,0,0,4.0,22.0
נתניה,,233R1102949,מגרש כדורגל - לא תקני,חבד בנים,,נצח ישראל,,186524.0,689362.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",לא,לא,לא,לא,תקין ופעיל,,,2003.0,,,0,0,4.0,22.0
נתניה,,233B1103049,מגרש כדורסל – 19X32 מ',חוף הרצל,שפת הים,חוף הרצל,,185919.0,692968.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,לא,כן,לא,לא,תקין ופעיל,,,2006.0,,Very High,0,1,4.0,19.0
נתניה,,233R1103032,מגרש ספורט במידות אחרות – לא תקני,חורב,רמת אפריים,הצנחנים,4,187251.0,692357.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",לא,לא,לא,לא,תקין ופעיל,,,1987.0,,,0,0,4.0,38.0
נתניה,,233R1103081,מגרש ספורט במידות אחרות – לא תקני,חיים חפר,עיר ימים,בני ברמן,4,185686.0,687541.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",לא,לא,לא,לא,תקין ופעיל,,,2006.0,,,0,0,4.0,19.0
נתניה,,233R1103115,אולם ספורט קטן – 20x10 מ',טכנולגי דתי,רמת חן,חתם סופר,4,186725.0,690990.0,,נתניה,עיריית נתניה,,,,בוקר בלבד,לא,לא,לא,לא,תקין ופעיל,,לא רלוונטי,2004.0,,Medium,0,0,4.0,21.0
נתניה,,233F2103166,מגרש כדורגל - לא תקני,יהודה הלוי,מרכז העיר,"אצ""ל פינת אברבנל",,187327.0,691616.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2003.0,,Very High,0,0,4.0,22.0
נתניה,,233B1103254,מגרש כדורסל – 19X32 מ',"ישורון בחצר ביה""ס",מרכז העיר,ברנר,,186686.0,693523.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,1991.0,,Very High,0,0,4.0,34.0
נתניה,,233B3103242,מגרש כדורסל – 19X32 מ',ישורון מאחורי האולם,מרכז העיר,ברנר,,186686.0,693523.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,1991.0,,Very High,0,0,4.0,34.0
נתניה,,233R1103245,מגרש כדורגל - לא תקני,ישיבת בני עקיבא,נאות גנים,גד מכלוף,4,189613.0,691079.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",כן,לא,לא,לא,תקין ופעיל,,,2005.0,,,1,0,4.0,20.0
נתניה,,233R1103261,מגרש ספורט משולב – 43X32 מ',ישיבת בני עקיבא,נאות גנים,גד מכלוף,4,189613.0,691079.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",כן,כן,כן,כן,תקין ופעיל,,,2006.0,,,1,1,4.0,19.0
נתניה,,233R1103394,מגרש כדורסל – 19X32 מ',לאה גולדברג,קרית השרון,הרטום,33,188202.0,690917.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",כן,כן,לא,לא,תקין ופעיל,,,2011.0,,,1,1,4.0,14.0
נתניה,,233R1106107,מגרש כדורסל – 19X32 מ',מורשת זבולון,קרית השרון,הגדוד העברי,1,188661.0,960419.0,,נתניה,עיריית נתניה,,,,"אחה""צ ולילה",לא,לא,לא,לא,תקין ופעיל,,,2004.0,,,0,0,4.0,21.0
נתניה,,233R1106143,מגרש ספורט משולב – 43X32 מ',מיני ספורטק,קרית נורדאו,שי עגנון,4,186265.0,687749.0,,נתניה,עיריית נתניה,,,,פתוח ללא הגבלה,כן,כן,לא,לא,תקין ופעיל,,,1980.0,,Very High,1,1,4.0,45.0
נתניה,,233B2106831,מגרש ספורט משולב – 43X32 מ',עמית אורגד,מרכז צפון,שרת,21,187209.0,693980.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,"אחה""צ ולילה",כן,לא,לא,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1996.0,עמית אורגד,,1,0,4.0,29.0
נתניה,,233G3108087,אולם ספורט בינוני – 32x19 מ',שי עגנון אולם כ.סל,נאות הרצל,שפינוזה,1,188224.0,694129.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,484.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2001.0,שי עגנון,Low,1,1,4.0,24.0
נתניה,,233B2106881,מגרש ספורט משולב – 43X32 מ',משולב שי עגנון,נאות הרצל,שפינוזה,1,188179.0,694137.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,"אחה""צ ולילה",כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1993.0,שי עגנון,,1,0,4.0,32.0
נתניה,,233A2101823,מתקן פתוח לכושר גופני,"ביה""ס שי עגנון",,שפינוזה,1,188306.0,694125.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,"אחה""צ ולילה",כן,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2009.0,שי עגנון,,1,0,4.0,16.0
נתניה,,233G1102889,אולם ספורט קטן – 20x10 מ',התעמלות שובו,נאות גנים,"שח""ל",17,189485.0,690884.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1970.0,שחל,Low,1,1,4.0,55.0
נתניה,,233B2106880,מגרש ספורט משולב – 43X32 מ',שובו מגרש משולב,נאות גנים,"שח""ל",17,189521.0,690886.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,200.0,"אחה""צ ולילה",כן,כן,כן,לא,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1990.0,"שח""ל",,1,1,4.0,35.0
נתניה,,233F2107852,מגרש כדורגל - לא תקני,אלדד מגרש קטרגל,קרית נורדאו,שד'גולדה מאיר,901,186578.0,687180.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,200.0,"אחה""צ ולילה",כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1995.0,אלדד,,1,1,4.0,30.0
נתניה,,233A2101724,מתקן פתוח לכושר גופני,"ביה""ס אלדד",קרית נורדאו,שד'גולדה מאיר,901,186523.0,687268.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,"אחה""צ ולילה",כן,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2008.0,אלדד,,1,0,4.0,17.0
נתניה,,233T1100075,מגרש טניס,12מגרשי טניס,עיר ימים פולג,שד' בן גוריון,,185638.0,687657.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,300.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2009.0,,Low,1,1,4.0,16.0
נתניה,,233A2108126,מתקן פתוח לכושר גופני,שלולית החורף מערבי,,שד' בן גוריון,143,185466.0,688676.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2006.0,,Very High,1,1,4.0,19.0
נתניה,,233A2107423,מתקן פתוח לכושר גופני,ספורטק עיר ימים,פולג,שד' בן גוריון/צמוד לת.אלון,12,185688.0,687544.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2009.0,,Very High,1,1,4.0,16.0
נתניה,,233F2107853,מגרש כדורגל - לא תקני,שימשון ברכה,נאות הרצל,"רחוב שמשון - מתנ""ס",,188024.0,693393.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,"אחה""צ ולילה",כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1995.0,,,1,1,4.0,30.0
נתניה,,233F2106138,מגרש כדורגל - לא תקני,מגרש שמואל,רמת ידין,רחוב שמואל,11,186800.0,689557.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,פתוח ללא הגבלה,כן,לא,לא,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1995.0,,Very High,1,0,4.0,30.0
נתניה,,233B1103304,מגרש כדורגל - לא תקני,מגרש נחום,רמת ידין,רחוב נחום פינת ישעיהו,,186569.0,689782.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,פתוח ללא הגבלה,כן,לא,לא,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1995.0,,Very High,1,0,4.0,30.0
נתניה,,233B2106807,מגרש ספורט משולב – 43X32 מ',לוי אשכול,גלי ים,רחוב לוי אשכול מול מספר 17,,185741.0,689329.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2007.0,,Very High,1,1,4.0,18.0
נתניה,,233B1103309,מגרש כדורגל - לא תקני,ירמיהו,רמת ידין,רחוב ירמיהו,,186569.0,689782.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1995.0,,Very High,1,1,4.0,30.0
נתניה,,233F2107854,מגרש כדורגל - לא תקני,יוספטל,נאות הרצל,רחוב יוספטל,,187658.0,692810.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,"אחה""צ ולילה",כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1995.0,,,1,1,4.0,30.0
נתניה,,233F2107855,מגרש כדורגל - לא תקני,חנה סנש מגרש קטרגל,רמת אפרים,רחוב חנה סנש,,187653.0,692256.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1998.0,,Very High,1,1,4.0,27.0
נתניה,,233F2107848,מגרש כדורגל - לא תקני,עין התכלת,עין התכלת,רחוב הדר,,187334.0,695145.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1995.0,,Very High,1,1,4.0,30.0
נתניה,,233B1103302,מגרש כדורסל – 19X32 מ',אורט לייבוביץ,קרית השרון,רחוב האורזים,,187887.0,690172.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2004.0,,Very High,1,1,4.0,21.0
נתניה,,233B1103316,מגרש כדורסל – 19X32 מ',בת חן הארז,קרית השרון,רחוב בת חן,,188661.0,689796.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2007.0,,Very High,1,1,4.0,18.0
נתניה,,233A2101717,מתקן פתוח לכושר גופני,"ביה""ס אורט ליבוביץ",קרית אליעזר,פנקס,34,188142.0,691248.0,,נתניה,עיריית נתניה,09-8609777,ronitz@netanya.muni.il,,בתיאום בלבד,כן,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2008.0,אורט ליבוביץ,Low,1,0,4.0,17.0
